id_produk;nama_parfum;brand;harga_teks;size;concentrate;top_notes;middle_notes;base_notes;kategori;waktu;aktivitas;gender;deskripsi_wangi;foto_url;link_toko;harga;;;
11;California Blue;Mykonos;Rp230.000,00;50 ml;Extrait De Parfum; Lavender, Grapefruit, Pear, Salt ; Marine Notes, Water Flowers, Rhubarb ;  Caramel, Woody Notes, Moss;Fresh / Sweet;day;Dugem (clubbing), pesta ulang tahun, atau hangout malam hari;male;Awal spray lavender grapefruit dan pear yang segar. Lama-kelamaan marine notes aquatic yang bebas. Akhirnya caramel woody moss yang earthy.;https://down-id.img.susercontent.com/file/id-11134207-822wi-mpcjmfztut4yb2;https://shopee.co.id/mykonosofficial;230000;;;
12;California Club;Mykonos;Rp230.000,00;50 ml;Extrait De Parfum; Violet Leaf, Bergamot, Lemon ; Violet, Iris, Rose ;  Ambrette, Amberwood, Sandalwood;Fresh / Boozy;night;Nongkrong di bar/lounge, konser musik harian, atau riding malam;male;Awal spray violet leaf bergamot dan lemon yang unik. Lama-kelamaan violet iris dan mawar yang feminin. Akhirnya ambrette amberwood sandalwood yang hangat elegan.;https://down-id.img.susercontent.com/file/id-11134207-822wi-mpcjmlgvojkb9a;https://shopee.co.id/mykonosofficial;230000;;;
13;Mayfair;Mykonos;Rp299.000,00;100 ml;Extrait De Parfum; Bergamot, Orange, Raspberry ; Caramel, Lavender, Jasmine ;  Wood, Leather, Patchouli, Sandalwood;Gourmand / Tea;versatile;WFH, membaca buku di kafe, atau nge-date santai sore hari;unisex;Awal spray bergamot orange dan raspberry yang segar manis. Lama-kelamaan karamel lavender jasmine yang unik. Akhirnya leather patchouli sandalwood yang maskulin kuat.;https://officialmykonos.com/cdn/shop/files/mayfair_100ml_sku.jpg?v=1778043195&width=980;https://shopee.co.id/mykonosofficial;299000;;;
14;Crimson;Mykonos;Rp299.000,00;100 ml;Extrait De Parfum; Cherry, Peach Cream, Nectar, Bergamot ; Caramel, Geranium, Jasmine ;  Amber, Patchouli, White Musk;Amber / Sweet;night;Dinner mewah, kondangan malam hari, atau acara formal;female;Awal spray cherry peach cream dan nektar yang manis menggoda. Lama-kelamaan karamel geranium jasmine. Akhirnya amber patchouli white musk yang sensual.;https://down-id.img.susercontent.com/file/id-11134207-8224q-mi1rimmeh69s2b;https://shopee.co.id/mykonosofficial;299000;;;
15;Cafe Drops;Mykonos;Rp189.000,00;50 ml;Extrait De Parfum;Orchid, Jasmine, coffee;Vanilla, Caramel, Tonka Bean, Milk;Amber, Musk, Wood, Patchouli;Gourmand / Coffee;night;Santai di kedai kopi, membaca buku, atau acara kasual malam.;unisex;Awal spray: Wangi kopi hitam pekat berpadu melati seperti baru masuk cafe estetik. Lama-kelamaan: Berubah jadi manis gurih menyerupai kopi susu karamel hangat. Akhir : Meninggalkan sisa kehangatan kayu yang manis dan bikin rileks.;https://down-id.img.susercontent.com/file/id-11134207-822ws-mpc45o8qummnbe;https://shopee.co.id/mykonosofficial;189000;;;
16;Pink Drops;Mykonos;Rp189.000,00;50 ml;Extrait De Parfum;Strawberry Preserve, Almond, Caramel;Milk, Heliotrope;Vanilla, White musk;Fruity / Gourmand;night;Jalan-jalan ke mall, hangout sore dengan teman, atau sehabis mandi sore.;female;Awal spray: Manis ceria seperti selai stroberi segar bercampur kacang almond. Lama-kelamaan: Aromanya melunak menjadi wangi susu hangat yang lembut. Akhir : Bertahan sebagai kombinasi vanila lembut dan white musk yang bersih.;https://down-id.img.susercontent.com/file/id-11134207-7r98t-ly31ubvtoway4d;https://shopee.co.id/mykonosofficial;189000;;;
17;Down to Earth;Mykonos;Rp169.000,00;50 ml;Extrait De Parfum;Fig, Matcha Green Tea, Bergamot, Incense, Cinnamon;Cashmere Wood, Orange, Figolide, Milky, Orcanox;Vetiver, Sandalwood, Santamanol, Cedar;Fresh / Earthy;night;Kerja kantoran, kuliah, meeting formal, atau saat butuh me-time yang tenang.;male;Awal spray: Sangat menenangkan seperti seduhan teh hijau matcha hangat dan buah ara (fig). Lama-kelamaan: Berubah agak manis-susu tapi tetap sejuk. Akhir : Menyisakan aroma kayu cedar dan akar wangi (vetiver) yang maskulin dan membumi.;https://down-id.img.susercontent.com/file/id-11134207-7r98q-lx10tbnmolbxd0;https://shopee.co.id/mykonosofficial;169000;;;
18;Tea Poetry;Mykonos;Rp299.000,00;100 ml;Extrait De Parfum;Rose, Jasmine, Ylang-Ylang;Candied fruit, Balsam, orange flower, pepper, smoked black tea;Honey, smoked black tea, Cedarwood;Airy / Floral;versatile;Sangat serbaguna (versatile): untuk ngantor, ngedate siang hari, atau kondangan.;female;Awal spray: Elegan seperti teh hitam premium yang baru diseduh bersama kelopak mawar. Lama-kelamaan: Muncul aroma manis buah kering dan kepulan asap teh. Akhir : Ditutup kelembutan madu manis dan kayu cedar yang mewah.;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjdMXKdK0ozo2QORleM4l0Crda81X92E1hXSjdoOBaD9g3XB6wsgOw_7Q&s=10;https://shopee.co.id/mykonosofficial;299000;;;
19;Milk Drops;Mykonos;Rp199.000,00;50 ml;Extrait De Parfum;Floral bouquet, Milk;Milk, Green notes;Tonka bean, White musk, White wood;Lactonic / Powdery;versatile;Dipakai setelah mandi sore, sebelum tidur, atau saat bersantai di rumah.;unisex;Awal spray: Wangi susu murni yang bersih berpadu kesegaran bunga. Lama-kelamaan: Berubah menjadi sangat lembut seperti aroma tubuh bayi setelah mandi. Akhir : Meninggalkan sisa white musk yang halus dan bersih di kulit.;https://images.tokopedia.net/img/cache/700/aphluv/1997/1/1/cfae1b1a617c4ff18ee1d8d858fdf970~.jpeg.webp;https://shopee.co.id/mykonosofficial;199000;;;
20;Utopia;Mykonos;Rp299.000,00;100 ml;Extrait De Parfum;Calabrian Bergamot, White Tea, Fruits, Citrus;Iris, Jasmine Sambac, Ylang-Ylang;Cedarwood, White Musk;Fresh / Floral;versatile;Beraktivitas luar ruangan, olahraga, atau dipakai sehari-hari saat cuaca panas.;unisex;Awal spray: Semburan super segar dari jeruk sitrus dan teh putih (white tea) mewah. Lama-kelamaan: Transisi menjadi buket bunga melati yang anggun. Akhir : Ditutup dengan sisa wangi white musk yang memberi kesan bersih sean.;https://mykonos.com.my/wp-content/uploads/2025/09/Utopia-100ml-1024x1024.png;https://shopee.co.id/mykonosofficial;299000;;;
21;Intimate;Mykonos;Rp299.000,00;100 ml;Extrait De Parfum;Raspberry Sorbet, Pink Pepper;Rose, Peony, Patchouli;Vanilla, Cashemere;Fruity / Floral;night;Kencan romantis (date night), menghadiri pesta, atau acara malam hari.;female;Awal spray: Manis segar dari es sorbet buah rasberi dan sedikit lada pink. Lama-kelamaan: Berubah menjadi aroma bunga mawar dan peony yang sangat feminin dan romantis. Akhir : Menyisakan kehangatan vanila dan kain cashmere yang lembut.;https://down-id.img.susercontent.com/file/id-11134207-7r98o-lrzthgjg0q4499;https://shopee.co.id/mykonosofficial;299000;;;
22;Sparkling Rose;Mykonos;Rp299.000,00;100 ml;Extrait De Parfum;Damask Rose, Orange, Geranium;May Rose, Sparkling Red Berries, Plum, Sandalwood;Patchouli, Amber, Guaiac wood, Musk;Floral / Fruity;day;Acara formal, kondangan, arisan, atau saat ingin tampil feminin memikat.;female;Awal spray: Segar nan mewah dari bunga mawar Damask berpadu jeruk. Lama-kelamaan: Muncul sensasi buah plum dan buah-buahan merah yang manis ceria. Akhir : Menjadi wangi kayu dan musk yang anggun serta tahan lama.;https://medias.watsons.co.id/publishing/WTCID-66774-side-zoom.jpg?version=1769973224;https://shopee.co.id/mykonosofficial;299000;;;
23;Pistachio Cream Cake;Mykonos;Rp139.000,00;50 ml;Eau De Parfum;Whipped cream accord, Pistachio, Crumble accord;Praline, Ice Cream;Orcanox, Musk, Tonka bean;Gourmand / Creamy;versatile;Nongkrong santai di toko kue, jalan-jalan sore, atau bagi pencinta wangi makanan.;unisex;Awal spray: Wangi kue gurih dengan taburan kacang pistachio dan krim kocok (whipped cream). Lama-kelamaan: Berubah jadi sangat manis seperti es krim vanilla-praline. Akhir : Menyisakan aroma manis gurih kacang yang super lezat.;https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/101/MTA-161392178/mykonos_mykonos-pistachio-cream-cake-edp-50ml_full01.jpg;https://shopee.co.id/mykonosofficial;139000;;;
24;Paradise;Mykonos;Rp149.000,00;50 ml;Eau De Parfum;Coconut, Mandarin Orange, Pear, Pineapple;Frangipani, Jasmine, Lily;Amber, Vanilla, Woody;Fruity / Tropical;day;Liburan ke pantai, piknik outdoor, atau saat cuaca sedang cerah/panas.;unisex;Awal spray: Vibes liburan di pantai berkat aroma kelapa, nanas segar, dan jeruk mandarin. Lama-kelamaan: Muncul wangi bunga eksotis seperti kamboja (frangipani). Akhir : Bertahan sebagai kombinasi vanila hangat dan kayu yang manis.;https://down-id.img.susercontent.com/file/id-11134207-7r98s-lx0qc4g0dcgrd7;https://shopee.co.id/mykonosofficial;149000;;;
25;Musk Aura;Mykonos;Rp279.000,00;100 ml;Eau De Parfum;Bergamot, Yuzu, Apple;Lily of the Valley, Sambac Jasmine, Ylang-ylang;Amber, Musk, Citrus, Nectarine;Powdery / Fresh;versatile;Dipakai sehari-hari ke kampus, ke kantor, atau setelah mandi di pagi hari.;unisex;Awal spray: Segar bersih dari buah apel dan jeruk yuzu Jepang. Lama-kelamaan: Melunak menjadi wangi bunga melati putih yang anggun. Akhir : Menjadi aroma bedak musk yang bersih, halus, dipadu sedikit manis buah nektarin.;https://bizweb.dktcdn.net/100/533/896/products/mykonos-musk-aura-100ml-1731648502768.png?v=1733992194240;https://shopee.co.id/mykonosofficial;279000;;;
26;Rouge;Mykonos;Rp169.000,00;50 ml;Eau De Parfum;Green pear, Lemon blossom;Lily of the valley, Ambrette, Violet, Orris;Orcanox, Musks;Fresh / Powdery;day;Ngantor, interview kerja, atau situasi formal yang butuh kesan profesional.;female;Awal spray: Wangi buah pir hijau yang renyah dan segarnya bunga lemon. Lama-kelamaan: Berubah menjadi wangi bunga violet yang memberi kesan bersih dan rapi. Akhir : Bertahan sebagai aroma musk yang sangat halus, minimalis, dan elegan.;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwyq5N8cdC3pEb2vTUDDB6LYByC6AGkGMnU31GB2PTxPePyq1NGwIw7v4c&s=10;https://shopee.co.id/mykonosofficial;169000;;;
27;Sansa;Mykonos;Rp279.000,00;100 ml;Eau De Parfum;Moss, Peach, Black Tea, Osmanthus.;Rose, Tuberose, Narcissus, Toffee.;Cedarwood, Orris Root, Vetiver, Dark Chocolate.;Gourmand / Dark;night;Acara formal malam hari, menghadiri konser, atau jalan-jalan malam.;unisex;Awal spray: Unik dari perpaduan buah persik (peach) dan teh hitam yang pekat. Lama-kelamaan: Wanginya bertransisi menjadi manisnya kembang gula toffee yang legit. Akhir : Ditutup dengan aroma cokelat hitam (dark chocolate) yang misterius dan mewah.;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT90Ek1TJCvtqIsi-QKKXyeP8l_a7IUu2HRdCVQCOzOFcTG-nh_NNuzC6tS&s=10;https://shopee.co.id/mykonosofficial;279000;;;
28;Aphrodite;Mykonos;Rp169.000,00;50 ml;Eau De Parfum;Jasmine, Burnt Cinnamon, Myrrh;Cedarwood, tonka bean, sandalwood;White musk, tobac, Vanilla, Mineral amber;Oriental / Spicy;night;Acara formal, gala dinner, atau saat kamu ingin menjadi pusat perhatian.;unisex;Awal spray: Wangi rempah kayu manis bakar dan melati yang eksotis dan mistis. Lama-kelamaan: Berubah menjadi aroma kayu cendana yang hangat dan tebal. Akhir : Meninggalkan jejak wangi tembakau tipis dan vanila yang sangat karismatik.;https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/101/MTA-179245603/mykonos_mykonos_aphrodite_-_eau_de_parfum_-50_ml-_full01_sriq8kq8.jpg;https://shopee.co.id/mykonosofficial;169000;;;
29;Caramel Fudge;Mykonos;Rp149.000,00;50 ml;Eau De Parfum;Cookie Dough, Caramel, Vanilla;Caramel, Condensed Milk, Sea Salt;White Musk, Vanilla, Caramel, Praline;Gourmand / Sweet;night;Cocok untuk pencinta parfum manis ekstrem (hardcore gourmand) di malam hari.;unisex;Awal spray: Benar-benar seperti adonan kue kering (cookie dough) yang baru dipanggang dengan karamel. Lama-kelamaan: Berubah jadi super manis dan gurih berkat susu kental manis. Akhir : Meninggalkan sisa wangi gula karamel yang super manis dan bikin nagih.;https://officialmykonos.com/cdn/shop/files/caramel_fudge_50ml_sku_1_1.jpg?v=1781184220&width=1946;https://shopee.co.id/mykonosofficial;149000;;;
30;XoXo Rosy;Mykonos;Rp149.000,00;50 ml;Eau De Parfum;Turkish Rose, Pink Pepper, green notes;Turkish Rose, Rose Petals, Orange Jam, Red Berries;Amber, Musk, Rose;Floral / Airy;versatile;Jalan-jalan sore, kencan kasual, atau kumpul santai bareng teman-teman.;female;Awal spray: Wangi bunga mawar Turki yang segar berpadu dedaunan hijau. Lama-kelamaan: Berubah manis seperti selai jeruk dipadu buah beri merah yang manis-asam segar. Akhir : Ditutup dengan kelembutan ambar (amber) dan musk bertema mawar.;https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/97/MTA-161392174/mykonos_mykonos-xoxo-rosy-edp-50ml_full01.jpg;https://shopee.co.id/mykonosofficial;149000;;;
31;Matcha Latte;Mykonos;Rp169.000,00;50 ml;Extrait De Parfum;Matcha Tea, White Chocolate;Jasmine, Tonka Bean;Vanilla, Milk;Gourmand / Lactonic;night;Kuliah, nongkrong santai di kafe, atau dipakai saat cuaca sedang mendung/hujan.;unisex;Awal spray: Aroma teh matcha pekat berpadu manisnya cokelat putih. Lama-kelamaan: Menjelma menjadi wangi minuman matcha latte yang manis, hangat, dan creamy. Akhir : Meninggalkan sisa kelembutan susu dan vanila yang menenangkan.;https://down-id.img.susercontent.com/file/id-11134207-822wm-mpc64zj09bswf0;https://shopee.co.id/mykonosofficial;169000;;;
32;Enchanted;Mykonos;Rp169.000,00;50 ml;Extrait De Parfum;Mandarin Orange;Peony, Rose, Violet, Peach;Iris, Musk;Floral / Powdery;day;Kuliah, kerja kantoran, atau dipakai sehari-hari karena aromanya sangat aman.;female;Awal spray: Segar dari jeruk mandarin yang membangkitkan semangat. Lama-kelamaan: Melembut menjadi buket bunga peony, mawar, dan manisnya buah persik. Akhir : Menyisakan aroma bedak (iris) dan musk yang super lembut serta bersih.;https://down-id.img.susercontent.com/file/id-11134207-822wi-mnkybsje95vpf6;https://shopee.co.id/mykonosofficial;169000;;;
33;Bonfire Vanilla;Mykonos;Rp169.000,00;50 ml;Extrait De Parfum;Cloves, nutmeg, Pink pepper, orange zest & Vanilla;Smoked wood, Pepper, Guaic wood, Burnt brown sugar;Smoked Wood, Vanilla, marshmallow, caramel;Gourmand / Smoky;night;Nongkrong malam hari, kegiatan outdoor malam, atau saat cuaca dingin.;unisex;Awal spray: Sensasi rempah cengkeh dan kayu manis hangat dipadu vanila. Lama-kelamaan: Berubah menjadi aroma gula merah yang agak gosong terbakar (burnt brown sugar). Akhir : Menyisakan wangi marshmallow bakar di dekat api unggun yang hangat.;https://down-id.img.susercontent.com/file/id-11134207-822wg-mnb68scmnhtxaf;https://shopee.co.id/mykonosofficial;169000;;;
34;Verve;Mykonos;Rp149.000,00;50 ml;Extrait De Parfum;Vanilla, pear, Blackcurrant;Jasmine, Iris, Orange blossom;Praline, Vanilla, Tonka Bean;Fruity / Gourmand;night;Pesta pernikahan, date night, atau jalan-jalan ke mall malam hari.;unisex;Awal spray: Manis segar dari buah pir dan buah blackcurrant yang berair. Lama-kelamaan: Muncul wangi bunga melati dan orange blossom yang elegan. Akhir : Ditutup dengan wangi manis gurih kacang praline, vanila, dan tonka bean.;https://down-id.img.susercontent.com/file/id-11134207-822ws-mop38b5i3x1e76;https://shopee.co.id/mykonosofficial;149000;;;
35;Stilettos;Mykonos;Rp149.000,00;50 ml;Eau De Parfum;Blackberry, Sour Cherry, Mandarin Orange;Violet, Jasmine;Cashmere wood, Amber, patchouli, Musk, Vanilla;Fruity / Oriental;day;Night out, pesta formal malam hari, atau saat memakai pakaian formal/jas.;female;Awal spray: Manis-asam misterius dari buah ceri hitam dan blackberry liar. Lama-kelamaan: Berubah menjadi aroma bunga violet yang anggun dan berkelas. Akhir : Meninggalkan jejak wangi kain cashmere, ambar, dan vanila yang seksi.;https://down-id.img.susercontent.com/file/id-11134207-7rase-m5mara24f9g812;https://shopee.co.id/mykonosofficial;149000;;;
36;Berry Caramel Pancake;Mykonos;Rp149.000,00;50 ml;Eau De Parfum;Mixed Berry coulis, brown sugar, lemon;Smoked brown sugar caramel, butter pancake;caramel, black berry, cashmere wood, tonka bean;Gourmand / Fruity;day;Acara santai, kumpul keluarga, atau saat ingin memakai parfum berkarakter ceria.;unisex;Awal spray: Aroma saus buah beri (berry coulis) yang manis asam segar bercampur lemon. Lama-kelamaan: Berubah menjadi wangi pancake hangat bertabur mentega cair. Akhir : Bertahan lama sebagai aroma karamel manis dan kehangatan kayu cashmere.;https://d1d8o7q9jg8pjk.cloudfront.net/p/md_640946d7ae19c.jpg;https://shopee.co.id/mykonosofficial;149000;;;
37;Moroccan Vanilla;Mykonos;Rp299.000,00;100 ml;Eau De Parfum;Moroccan Vanilla, Bulgarian Rose, Rose, Lemon;Bulgarian Rose, Vanilla, Lemon, Sugar;White Musk, Sugar, Vanilla;Gourmand / Floral;versatile;Daily, kencan siang hari, atau bersantai selepas mandi sore.;unisex;Awal spray: Segarnya jeruk lemon berpadu mawar Bulgaria yang manis romantis. Lama-kelamaan: Wanginya melembut menjadi dominan gula manis dan vanila. Akhir : Menutup dengan kelembutan white musk bersih bernuansa vanila manis.;https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/96/MTA-161392227/mykonos_mykonos_moroccan_vanilla__-improved_formula-_edp_100ml_full01_smv090m0.jpg;https://shopee.co.id/mykonosofficial;299000;;;
38;Black Opera;Mykonos;Rp269.000,00;100 ml;Eau De Parfum;Vanilla, Orange Blossom, Pink Pepper;Licorice, Jasmine, Almond, Coffee;Cashmere wood, Jasmine, Vanilla, Patchouli;Gourmand / Spicy;night;Date night, pesta malam hari, atau nongkrong di kafe saat cuaca dingin.;unisex;Awal spray: Perpaduan manis vanila, kehangatan lada pink, dan kesegaran bunga jeruk. Lama-kelamaan: Berubah menjadi aroma kopi hitam pekat bercampur gurihnya kacang almond. Akhir : Menyisakan wangi kayu manis, vanila, dan patchouli yang seksi.;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ90v_74BAbYWi0NzPXQdIXyJwlOdw1UpWYGHdEbTb8SOVz7czyhbhFsHM&s=10;https://shopee.co.id/mykonosofficial;269000;;;
39;When In Paris;Mykonos;Rp149.000,00;50 ml;Eau De Parfum;Mandarin Orange, Lychee & Marigold;Wild Orchid, Vanilla Orchid, Magnolia;Apricot, Cashmere musk, Guaic Wood;Fruity / Floral;day;Kuliah, kerja kantoran, jalan-jalan ke mall, atau kencan kasual siang hari.;unisex;Awal spray: Manis segar juicy dari buah kelengkeng (lychee) dan jeruk mandarin. Lama-kelamaan: Berubah menjadi aroma buket bunga anggrek liar dan magnolia yang feminin. Akhir : Ditutup kelembutan buah aprikot dan cashmere musk yang mewah.;https://media.karousell.com/media/photos/products/2022/8/5/mykonos_paris_collection_when__1659673441_187a3dff_progressive.jpg;https://shopee.co.id/mykonosofficial;149000;;;
40;Vanilla Clouds;Mykonos;Rp149.000,00;50 ml;Eau De Parfum;Vanilla, heliotrope, white floral accord;Vanilla, Marshmallow, Iris;Caramel, White Musk, Vanilla;Gourmand / Powdery;day;Dipakai santai, sebelum tidur, atau saat ingin merasa nyaman (cozy).;unisex;Awal spray: Manis lembut dari vanila berpadu kelopak bunga putih yang bersih. Lama-kelamaan: Berubah menjadi sangat empuk menyerupai aroma marshmallow dan bedak iris. Akhir : Bertahan lama sebagai sisa karamel cair dan vanila yang bikin nagih.;https://down-id.img.susercontent.com/file/id-11134207-82250-mi1dhyr3zs3nc5;https://shopee.co.id/mykonosofficial;149000;;;
41;Coconut Dreams;Mykonos;Rp149.000,00;50 ml;Eau De Parfum;Coconut, Aloe Vera, Lily of the Valley;Coconut Cream, Vanilla, Sweet Rice;Vanilla, Cashmere Wood​;Lactonic / Tropical;day;Liburan ke pantai, piknik kasual, atau dipakai santai sehari-hari.;unisex;Awal spray: Wangi kelapa segar berpadu tanaman lidah buaya yang sejuk. Lama-kelamaan: Aromanya menjelma menjadi sangat gurih seperti krim kelapa hangat dan ketan manis. Akhir : Menyisakan kehangatan vanila lembut dan serat kayu cashmere di kulit.;https://down-id.img.susercontent.com/file/id-11134207-7rasj-m5481cg1bgk87e;https://shopee.co.id/mykonosofficial;149000;;;
